66.745253	-990.863620	11688546.533294	0.000000
284.122407	-991.015313	12801741.441226	0.000000
504.011587	-991.404331	13914936.349159	0.000000
65.531703	-773.031385	11688546.533294	1118889.974858
65.364718	-553.239024	11688546.533294	2273030.926988
65.488986	-223.184476	11688546.533294	4163881.144064
612.328232	-70.459687	14471533.803126	4865942.279503
453.624146	-169.013034	13655114.223518	4494972.489725
419.462563	-141.925785	13489997.969304	4679140.619425
349.611350	-150.544602	13120788.498943	4619603.508531
409.907456	-510.755821	13451303.174843	2498631.464294
